"year";"count"
1500;23
1501;37
1502;30
1503;68
1504;46
1505;28
1506;36
1507;65
1508;29
1509;27
1510;35
1511;35
1512;16
1513;39
1514;48
1515;32
1516;36
1517;82
1518;37
1519;27
1520;45
1521;49
1522;19
1523;33
1524;30
1525;24
1526;27
1527;31
1528;37
1529;82
1530;69
1531;79
1532;41
1533;48
1534;43
1535;65
1536;39
1537;46
1538;56
1539;103
1540;143
1541;48
1542;41
1543;42
1544;46
1545;47
1546;35
1547;18
1548;17
1549;35
1550;23
1551;38
1552;54
1553;30
1554;18
1555;28
1556;46
1557;40
1558;36
1559;48
1560;41
1561;32
1562;37
1563;35
1564;40
1565;29
1566;34
1567;50
1568;34
1569;41
1570;78
1571;79
1572;46
1573;60
1574;42
1575;77
1576;44
1577;36
1578;36
1579;50
1580;65
1581;38
1582;31
1583;37
1584;64
1585;59
1586;31
1587;41
1588;48
1589;56
1590;84
1591;33
1592;43
1593;37
1594;35
1595;34
1596;30
1597;51
1598;31
1599;53
1600;35
1601;35
1602;37
1603;46
1604;47
1605;45
1606;44
1607;49
1608;32
1609;35
1610;72
1611;47
1612;46
1613;54
1614;54
1615;62
1616;84
1617;87
1618;42
1619;34
1620;34
1621;44
1622;68
1623;40
1624;70
1625;44
1626;71
1627;52
1628;63
1629;51
1630;54
1631;53
1632;37
1633;35
1634;42
1635;51
1636;29
1637;44
1638;52
1639;39
1640;46
1641;32
1642;37
1643;42
1644;37
1645;37
1646;32
1647;30
1648;29
1649;21
1650;38
1651;45
1652;35
1653;34
1654;33
1655;40
1656;31
1657;32
1658;44
1659;30
1660;37
1661;71
1662;58
1663;35
1664;26
1665;32
1666;49
1667;34
1668;35
1669;26
1670;20
1671;21
1672;13
1673;28
1674;27
1675;39
1676;49
1677;21
1678;43
1679;35
1680;31
1681;37
1682;20
1683;29
1684;58
1685;25
1686;25
1687;29
1688;11
1689;17
1690;28
1691;27
1692;37
1693;52
1694;45
1695;33
1696;22
1697;32
1698;34
1699;26
1700;25
1701;34
1702;13
1703;9
1704;18
1705;16
1706;20
1707;30
1708;41
1709;45
1710;14
1711;27
1712;39
1713;40
1714;23
1715;26
1716;24
1717;21
1718;23
1719;61
1720;37
1721;24
1722;24
1723;36
1724;29
1725;28
1726;29
1727;50
1728;30
1729;37
1730;36
1731;28
1732;23
1733;19
1734;16
1735;18
1736;19
1737;19
1738;28
1739;44
1740;69
1741;30
1742;13
1743;21
1744;13
1745;23
1746;31
1747;15
1748;17
1749;28
1750;27
1751;32
1752;31
1753;25
1754;26
1755;29
1756;27
1757;25
1758;25
1759;22
1760;24
1761;25
1762;53
1763;27
1764;30
1765;25
1766;34
1767;31
1768;37
1769;37
1770;96
1771;93
1772;55
1773;40
1774;32
1775;43
1776;24
1777;28
1778;32
1779;56
1780;36
1781;41
1782;37
1783;48
1784;42
1785;37
1786;42
1787;30
1788;46
1789;38
1790;30
1791;31
1792;26
1793;34
1794;49
1795;47
1796;33
1797;23
1798;32
1799;30
1800;1
1802;2
1804;1
1805;1
1806;1
1807;1
1808;1
1809;1
1811;1
1812;1
1813;1
1814;6
1815;9
1816;81
1817;135
1818;19
1819;1
1820;2
1821;1
1822;5
1823;2
1824;1
1825;3
1826;1
1828;2
1830;1
1831;4
1832;5
1833;1
1834;17
1835;19
1836;10
1837;3
1838;8
1839;8
1840;8
1845;4
1846;28
1847;3
1848;2
1849;1
1850;12
1851;19
1852;56
1853;56
1854;23
1855;2
1857;2
1858;4
1859;2
1860;2
1861;26
1862;3
1863;3
1864;5
1865;3
1866;4
1867;3
1868;2
1869;3
1870;13
1871;21
1872;27
1873;38
1874;3
1876;3
1877;3
1878;3
1881;2
1882;1
1883;3
1884;1
1885;3
1886;3
1887;3
1888;2
1889;3
1890;2
1891;2
1892;3
1893;4
1894;3
1895;3
1896;2
1915;1
1921;1
1947;15
1976;8
2015;4
2016;2
2017;16
2018;249
2019;9
